aa,aa,aaa 0.974
accus,accusation,accused 0.998
accus,accusations,accuse 0.995
accus,accusations,accused 0.991
accus,accused,accusing 0.994
acetyltransferas,acetyltransferase,acetyltransferases 0.500
ach,ach,acher 0.960
achiev,achievable,achieved 0.999
achiev,achieve,achieved 0.999
achiev,achieve,achievement 0.999
achiev,achieve,achieving 0.997
achiev,achieved,achievements 0.998
achiev,achieved,achieving 0.999
achiev,achievement,achievements 0.999
achiev,achieves,achieving 0.996
acid,acid,acidic 0.990
acid,acid,acidity 0.995
acid,acid,acids 0.976
acid,acidic,acids 0.987
acknowledg,acknowledge,acknowledgement 0.993
acknowledg,acknowledged,acknowledgments 0.994
acoust,acoustic,acoustical 0.995
acoust,acoustic,acoustically 0.995
acoust,acoustic,acoustics 0.995
acoust,acoustical,acoustically 0.958
acquir,acquired,acquiring 0.996
acquir,acquirer,acquiring 0.979
acquisit,acquisition,acquisitions 0.977
acquit,acquittal,acquitted 0.900
acr,acre,acres 0.989
acr,acreage,acres 0.998
acroas,acroasis,acroasium 0.750
acryl,acrylate,acrylic 0.875
acryl,acrylate,acrylics 0.833
acryl,acrylic,acrylics 0.833
act,act,acted 1.000
act,act,acting 1.000
act,act,action 0.999
act,act,actions 1.000
act,act,activating 1.000
act,act,active 1.000
act,act,actively 1.000
act,act,activities 1.000
act,act,activity 1.000
act,act,actor 1.000
act,act,actors 1.000
act,act,acts 0.998
act,act,actual 1.000
act,act,actually 1.000
act,acta,activation 0.999
act,acta,acts 1.000
act,acted,acting 1.000
act,acted,action 1.000
act,acted,actions 1.000
act,acted,actor 1.000
act,acting,action 1.000
act,acting,activities 1.000
act,acting,activity 1.000
act,acting,actor 0.998
act,acting,actors 0.999
act,acting,acts 1.000
act,acting,actual 1.000
act,acting,actually 1.000
act,action,actions 0.999
act,action,activated 1.000
act,action,activation 1.000
act,action,active 1.000
act,action,actively 1.000
act,action,activism 1.000
act,action,activist 1.000
act,action,activists 1.000
act,action,activities 1.000
act,action,activity 1.000
act,action,actor 1.000
act,action,actors 1.000
act,action,acts 0.999
act,action,actual 1.000
act,actions,activated 1.000
act,actions,active 1.000
act,actions,actively 1.000
act,actions,activist 1.000
act,actions,activity 1.000
act,actions,actors 1.000
act,actions,acts 1.000
act,actions,actual 1.000
act,actions,actually 1.000
act,activate,acts 1.000
act,activated,activation 0.998
act,activated,active 1.000
act,activated,activity 1.000
act,activated,acts 1.000
act,activates,activating 0.998
act,activating,activation 0.999
act,activating,activity 1.000
act,activation,activity 0.999
act,activation,acts 1.000
act,activator,activity 1.000
act,activators,activities 1.000
act,active,actively 1.000
act,active,activism 1.000
act,active,activist 1.000
act,active,activists 1.000
act,active,activities 1.000
act,active,activity 1.000
act,active,actor 0.999
act,active,actors 1.000
act,active,acts 0.998
act,active,actually 1.000
act,actively,activities 1.000
act,actively,actor 1.000
act,actively,actors 1.000
act,activism,activist 0.999
act,activism,activities 1.000
act,activism,actor 1.000
act,activist,activities 1.000
act,activist,actor 0.999
act,activist,actors 1.000
act,activists,activities 1.000
act,activists,actors 1.000
act,activists,actually 1.000
act,activities,activity 0.999
act,activities,actor 1.000
act,activities,actors 1.000
act,activities,acts 1.000
act,activities,actual 1.000
act,activities,actually 1.000
act,activity,acts 1.000
act,activity,actual 1.000
act,actor,actors 0.995
act,actor,acts 1.000
act,actor,actual 1.000
act,actor,actually 1.000
act,actors,acts 1.000
act,actors,actual 1.000
act,actors,actually 1.000
act,acts,actual 1.000
act,acts,actually 1.000
act,actual,actually 1.000
actress,actress,actresses 0.987
acut,acute,acutely 0.990
acyltransferas,acyltransferase,acyltransferases 0.667
ad,ad,added 1.000
ad,ad,adds 1.000
ad,ad,ads 0.999
ad,adage,add 1.000
ad,add,added 1.000
ad,added,adding 1.000
ad,added,adds 1.000
ad,adds,adoring 0.999
ad,adoration,adoring 0.996
adam,adam,adams 0.998
adapt,adapt,adaptation 0.998
adapt,adapt,adaptations 0.998
adapt,adapt,adapted 0.999
adapt,adapt,adapting 0.995
adapt,adaptation,adaptations 0.996
adapt,adaptation,adapted 0.993
adapt,adaptations,adapted 0.993
adapt,adapter,adapters 0.990
addict,addict,addictions 0.983
addit,addition,additional 0.999
addit,addition,additionally 0.999
addit,addition,additions 0.999
addit,addition,additivity 0.999
addit,additional,additionally 0.999
address,address,addressed 0.997
address,address,addresses 0.996
address,address,addressing 0.996
address,addressed,addressee 0.994
address,addresses,addressing 0.987
adebis,adebisi,adebisis 0.500
adf,adf,adfs 0.933
adjust,adjust,adjusts 0.987
adjust,adjustable,adjustments 0.990
adjust,adjusted,adjusting 0.986
adjust,adjusted,adjustment 0.994
adjust,adjusted,adjustments 0.993
adjust,adjusted,adjustor 0.990
adjust,adjusting,adjustment 0.993
adjust,adjustment,adjustments 0.993
adl,adl,adls 0.958
adl,adler,adlers 0.979
admin,admin,administration 0.998
admin,administer,administered 0.998
admin,administered,administration 1.000
admin,administered,administrative 0.999
admin,administered,administrators 0.999
admin,administers,administration 1.000
admin,administrated,administrative 0.999
admin,administration,administrations 0.999
admin,administration,administrative 0.998
admin,administration,administrator 1.000
admin,administrations,administrator 0.999
admin,administrative,administrator 0.998
admin,administrative,administrators 0.999
admin,administrator,administrators 0.999
admir,admiral,admirals 0.996
admit,admission,admissions 0.995
admit,admission,admitted 0.997
admit,admit,admitted 0.996
admit,admit,admitting 0.994
adopt,adopt,adopted 0.999
adopt,adopted,adoption 0.998
adopt,adopted,adoptive 0.999
adopt,adoptees,adoption 0.995
adult,adult,adulthood 0.997
adult,adult,adults 0.994
adult,adulthood,adults 0.997
adv,adv,adventure 1.000
adv,advance,advanced 1.000
adv,advance,advancing 1.000
adv,advance,advantage 1.000
adv,advance,adventure 1.000
adv,advance,adventures 1.000
adv,advanced,advancement 1.000
adv,advanced,advances 1.000
adv,advanced,advantage 1.000
adv,advanced,advent 1.000
adv,advanced,adventure 1.000
adv,advanced,adventures 1.000
adv,advanced,advice 1.000
adv,advancement,advancing 0.999
adv,advancement,adventure 1.000
adv,advancement,advice 1.000
adv,advancement,advise 0.999
adv,advantage,advantages 1.000
adv,adventure,adventures 0.999
adv,adventure,advisor 1.000
adv,adventurer,adventurous 0.998
adv,adventurers,adventures 1.000
adv,advice,advised 1.000
adv,advice,adviser 1.000
adv,advice,advises 0.999
adv,advice,advisory 0.999
adv,advised,adviser 0.999
adv,adviser,advises 0.999
adv,adviser,advisory 0.999
adv,advises,advisory 0.999
adv,advising,advisor 0.999
adv,advising,advisory 0.999
advert,advert,advertisement 0.994
advert,advert,adverts 0.989
advert,advertised,advertisement 0.998
advert,advertised,advertisers 0.993
advert,advertised,advertises 0.993
advert,advertised,advertising 0.999
advert,advertisement,advertisements 0.995
advert,advertisement,advertisers 0.997
advert,advertisement,advertising 0.980
advert,advertisement,adverts 0.997
advert,advertisements,advertising 0.998
advert,advertisements,adverts 0.993
advert,advertisers,advertising 0.997
advoc,advocacy,advocate 0.997
advoc,advocacy,advocated 0.995
advoc,advocacy,advocates 0.995
advoc,advocacy,advocating 0.988
advoc,advocate,advocated 0.994
advoc,advocate,advocates 0.997
advoc,advocate,advocating 0.997
advoc,advocates,advocation 0.991
aer,aerate,aerating 0.944
aer,aerate,aeration 0.944
aer,aerate,aerator 0.944
aer,aerating,aeration 0.944
aer,aerating,aerator 0.944
aer,aerating,aerators 0.944
aer,aeration,aerator 0.944
aer,aeration,aerators 0.944
aer,aerator,aerators 0.944
aer,aerial,aerials 0.998
aer,aerial,aerth 0.998
aeranth,aeranthes,aeranthus 0.500
aerodynam,aerodynamic,aerodynamically 0.952
aerodynam,aerodynamic,aerodynamics 0.952
aerodynam,aerodynamically,aerodynamics 0.833
aeropl,aeroplane,aeroplanes 0.909
aesthet,aesthetic,aesthetics 0.980
af,afar,afi 0.986
affect,affect,affected 0.998
affect,affect,affecting 0.993
affect,affect,affects 0.996
affect,affecting,affects 0.997
affin,affinities,affinity 0.974
affy,affiliate,affiliated 0.996
affy,affiliate,affiliates 0.992
affy,affiliate,affiliation 0.986
affy,affiliate,affiliations 0.985
affy,affiliated,affiliation 0.988
affy,affiliated,affiliations 0.996
affy,affiliation,affiliations 0.997
afgh,afghan,afghanistan 0.982
afgh,afghan,afghans 0.950
afl,afl,afls 0.957
afr,african,africanism 0.997
afr,african,africans 0.995
aft,aft,after 0.999
afterburn,afterburner,afterburning 0.600
ag,ag,age 1.000
ag,ag,agence 0.998
ag,age,aged 1.000
ag,age,agency 1.000
ag,age,agent 1.000
ag,age,agents 1.000
ag,age,ages 1.000
ag,age,aging 1.000
ag,aged,agencies 1.000
ag,aged,ages 1.000
ag,aged,aging 1.000
ag,agencies,agency 0.998
ag,agencies,agencys 1.000
ag,agencies,agents 1.000
ag,agency,agencys 0.999
ag,agency,agent 1.000
ag,agency,agents 1.000
ag,agency,ages 1.000
ag,agent,agents 0.998
ag,agent,ages 1.000
agamemnon,agamemnon,agamemnons 0.750
agarophyt,agarophyte,agarophytes 0.500
agil,agile,agilis 0.938
agio,agioi,agios 0.833
agit,agitated,agitation 0.986
agit,agitation,agitators 0.980
agnost,agnostic,agnosticism 0.929
agnost,agnostic,agnostics 0.944
agnost,agnosticism,agnostics 0.917
agoranomo,agoranomoi,agoranomos 0.500
agr,agra,agre 0.993
agr,agree,agreeable 0.999
agr,agree,agreement 0.999
agr,agreement,agreements 0.998
agr,agreement,agrees 0.999
agricult,agricultural,agriculture 0.984
agui,aguiar,aguiars 0.857
aguinaldo,aguinaldo,aguinaldos 0.750
aguir,aguirre,aguirres 0.917
ahead,ahead,aheads 0.982
ahmad,ahmad,ahmads 0.967
ahr,ahr,ahrr 0.773
aid,aid,aided 0.999
aid,aid,aids 0.999
aik,aiken,aikens 0.963
aim,aim,aiming 0.998
aim,aim,aims 0.998
air,air,aire 1.000
air,air,aired 0.999
air,air,airing 1.000
air,air,airs 0.999
air,aired,airing 0.997
air,aired,airings 0.999
air,aired,airs 0.995
air,airing,airs 0.998
air,airings,airs 0.997
airborn,airborne,airbornes 0.947
aircraft,aircraft,aircrafts 0.964
airfram,airframe,airframes 0.900
airlin,airline,airlines 0.951
airlin,airliner,airlines 0.990
airlin,airliners,airlines 0.914
airpl,airplane,airplanes 0.971
airport,airport,airports 0.888
aisl,aisle,aisles 0.963
akiko,akiko,akikos 0.750
akkad,akkad,akkadian 0.667
al,al,alan 1.000
al,al,alans 1.000
al,al,alate 1.000
al,al,alates 1.000
al,al,ali 1.000
al,al,alis 1.000
al,al,all 0.999
al,al,allan 1.000
al,al,allee 1.000
al,al,allen 1.000
al,al,alliance 1.000
al,al,allied 1.000
al,al,allies 1.000
al,al,allis 1.000
al,al,allory 1.000
al,al,ally 1.000
al,al,alum 1.000
al,ala,all 1.000
al,alan,alans 1.000
al,alan,aleal 1.000
al,alan,ali 1.000
al,alan,alive 1.000
al,alan,all 0.999
al,alan,allan 1.000
al,alan,allen 1.000
al,alan,alliance 1.000
al,alan,alliances 1.000
al,alan,allied 1.000
al,alane,alice 1.000
al,alanic,alans 0.994
al,alaric,all 1.000
al,alate,alates 0.992
al,ale,all 1.000
al,aleal,all 1.000
al,aled,all 1.000
al,alerante,ali 1.000
al,alerante,all 1.000
al,ali,alis 1.000
al,ali,all 1.000
al,alia,alium 0.997
al,alia,all 1.000
al,alia,alliance 1.000
al,alice,alices 0.999
al,alice,all 1.000
al,alice,allen 1.000
al,alis,allied 1.000
al,alis,allies 1.000
al,alive,all 1.000
al,alive,alliance 1.000
al,alive,allied 1.000
al,all,allan 1.000
al,all,allans 1.000
al,all,alle 1.000
al,all,allen 1.000
al,all,aller 1.000
al,all,alliance 1.000
al,all,allie 1.000
al,all,allied 1.000
al,all,allies 1.000
al,all,allis 1.000
al,all,allister 1.000
al,all,alls 1.000
al,all,als 1.000
al,all,alum 1.000
al,allan,allen 1.000
al,alliance,alliances 0.999
al,alliance,allied 1.000
al,alliance,allies 1.000
al,alliances,allied 1.000
al,allied,allies 0.999
al,allied,ally 1.000
alask,alaska,alaskan 0.902
alb,alba,albanian 0.999
alb,alba,albanians 0.998
alb,albalate,albares 0.972
alb,albanian,albanians 0.996
alb,albanian,album 1.000
alb,albers,album 1.000
albacet,albacete,albacetes 0.750
albert,albert,alberta 0.999
albert,albert,albertal 0.999
albert,albert,alberts 0.997
albert,alberta,albertan 0.997
albright,albright,albrights 0.750
alco,alco,alcos 0.750
alcohol,alcohol,alcoholic 0.995
alcohol,alcohol,alcoholics 0.994
alcohol,alcoholic,alcoholism 0.989
alcohol,alcoholics,alcoholism 0.979
aldrich,aldrich,aldrichs 0.909
aleksand,aleksandar,aleksander 0.917
aleut,aleutian,aleutians 0.929
alex,alex,alexs 0.998
alexand,alexander,alexanders 0.971
alexandrin,alexandrine,alexandrines 0.889
alfonso,alfonso,alfonsos 0.947
alfy,alfie,alfies 0.933
algorithm,algorithm,algorithms 0.935
align,align,alignable 0.972
align,aligned,alignment 0.996
alkyl,alkyl,alkylating 0.667
allah,allah,allahs 0.933
alleg,allegation,allegations 0.996
alleg,allegation,alleged 0.997
alleg,allegation,allegedly 0.997
alleg,allegations,alleged 0.994
alleg,allegations,allegedly 0.998
alleg,allege,alleged 0.998
alleg,alleged,allegedly 0.999
alleg,alleged,alleges 0.998
allend,allende,allendes 0.500
allison,allison,allisons 0.957
alloc,allocate,allocating 0.960
alloc,allocate,allocation 0.982
alloc,allocated,allocation 0.989
alloc,allocating,allocations 0.975
allotrop,allotrope,allotropes 0.750
allow,allow,allowed 0.994
allow,allow,allowing 0.997
allow,allow,allows 0.996
allow,allowed,allowing 0.995
allow,allowed,allows 0.996
allow,allowing,allows 0.997
almon,almoner,almoners 0.500
almont,almonte,almontes 0.833
almoravid,almoravid,almoravids 0.500
alp,alpenc,alps 0.992
alphabet,alphabet,alphabetic 0.993
alphabet,alphabet,alphabets 0.985
alphabet,alphabetic,alphabetical 0.989
als,alsatian,alsatianen 0.917
alt,altar,altaris 0.997
alt,altar,alterations 0.996
alt,alter,altered 0.999
alt,alteration,altered 0.999
alt,alterations,altered 0.999
altern,alternate,alternators 0.999
altern,alternating,alternatively 0.997
altern,alternative,alterning 1.000
altitud,altitude,altitudes 0.985
alto,alto,altos 0.968
alumn,alumni,alumnus 0.996
alvarez,alvarez,alvarezs 0.875
alveol,alveoli,alveolus 0.833
aly,alien,aliens 0.990
aly,alienate,alienation 0.975
alzheim,alzheimer,alzheimers 0.857
am,am,american 1.000
am,am,americans 1.000
am,am,amor 1.000
am,am,ams 1.000
am,ama,ames 0.999
am,amar,american 1.000
am,amare,american 1.000
am,amat,amateur 1.000
am,amateur,amateurs 1.000
am,amateur,american 1.000
am,amer,american 1.000
am,amer,americans 1.000
am,american,americanism 1.000
am,american,americans 0.999
am,american,amicable 1.000
am,american,amicably 1.000
am,american,amis 1.000
am,american,amore 1.000
am,american,amur 1.000
am,americanisation,americans 1.000
am,amor,amore 0.999
am,amor,amorous 0.999
amalgam,amalgam,amalgams 0.971
amalgam,amalgamate,amalgamation 0.973
amalgam,amalgamated,amalgamation 0.990
amantin,amantini,amantinis 0.500
amazigh,amazigh,amazighs 0.500
amazon,amazon,amazons 0.992
amb,ambulance,ambulances 0.997
ambassad,ambassador,ambassadors 0.992
ambassad,ambassador,ambassadorship 0.995
ambigu,ambiguities,ambiguity 0.970
ambros,ambrose,ambrosia 0.976
ambulacr,ambulacra,ambulacral 0.500
amc,amc,amcs 0.929
amend,amend,amendment 0.996
amend,amend,amendments 0.991
amend,amended,amendment 0.991
amend,amended,amendments 0.995
amend,amending,amendments 0.990
amend,amendment,amendments 0.993
amerl,amerling,amerlings 0.500
amigo,amigo,amigos 0.933
aminolevulin,aminolevulinate,aminolevulinic 0.750
amirthanayagam,amirthanayagam,amirthanayagams 0.500
ammon,ammonia,ammonium 0.905
ammonit,ammonite,ammonites 0.600
amniot,amniota,amniotes 0.750
amniot,amniote,amniotes 0.833
amount,amount,amounts 0.989
amount,amounting,amounts 0.993
amphib,amphibia,amphibians 0.980
amphib,amphibian,amphibians 0.964
amphith,amphitheater,amphitheatre 0.923
amr,amr,amrs 0.944
amstrad,amstrad,amstrads 0.667
amtrak,amtrak,amtraks 0.909
amus,amusement,amusment 0.992
amy,amy,amys 0.990
an,an,ana 1.000
an,an,anal 1.000
an,an,ananian 1.000
an,an,ane 1.000
an,an,ani 1.000
an,an,ania 1.000
an,an,anion 1.000
an,an,anions 1.000
an,an,anisian 1.000
an,an,ann 0.999
an,an,annals 1.000
an,an,anne 1.000
an,an,anneliese 1.000
an,an,annes 1.000
an,an,annual 0.998
an,an,annually 1.000
an,an,ans 1.000
an,ana,ane 0.999
an,ananian,ananians 0.988
an,anat,anne 1.000
an,anion,anions 0.996
an,ann,anne 0.999
an,ann,annual 1.000
an,ann,annually 1.000
an,anne,annes 1.000
an,annual,annually 0.999
analys,analyse,analysis 0.999
analys,analyse,analyzed 0.992
analys,analysed,analysis 0.999
analys,analyses,analysing 0.993
analys,analyses,analysis 0.998
analys,analysing,analysis 0.999
analys,analysis,analytic 0.999
analys,analysis,analytical 0.999
analys,analysis,analyzed 0.999
analys,analysis,analyzing 0.999
analys,analyzer,analyzing 0.993
anapsid,anapsid,anapsida 0.750
anapsid,anapsida,anapsids 0.750
anarch,anarchism,anarchist 0.974
anarch,anarchism,anarchists 0.970
anarch,anarchist,anarchists 0.976
anatol,anatol,anatole 0.958
anatom,anatomical,anatomy 0.991
anatom,anatomie,anatomy 0.996
anatom,anatomist,anatomy 0.996
ancest,ancestor,ancestors 0.967
ancest,ancestors,ancestral 0.989
anch,anchor,anchored 0.995
anch,anchor,anchoring 0.997
anch,anchor,anchors 0.998
anch,anchoring,anchors 0.990
and,and,andante 1.000
and,and,ande 1.000
and,and,andean 1.000
and,and,andere 1.000
and,and,anderer 1.000
and,and,anders 0.999
and,and,andes 0.999
and,and,andi 1.000
andalit,andalite,andalites 0.500
andelin,andelin,andelins 0.500
anderson,anderson,andersons 0.996
andr,andre,andres 0.998
andrad,andrade,andrades 0.950
andrew,andrew,andrewa 0.998
andrew,andrew,andrews 0.998
andy,andy,andys 0.976
ang,anger,angered 0.998
ang,anger,angers 0.998
angel,angel,angela 0.999
angel,angel,angeles 1.000
angel,angel,angels 0.996
angel,angeles,angels 1.000
angl,angle,angles 0.997
angl,anglia,anglian 0.994
angl,anglican,anglicanism 0.997
angl,anglican,anglicans 0.995
angl,anglicanism,anglicans 0.993
anim,animal,animals 0.995
anim,animal,animated 0.999
anim,animal,animation 1.000
anim,animals,animated 0.998
anim,animals,animation 1.000
anim,animated,animation 0.997
anim,animated,anime 0.999
anim,animation,animator 0.998
anim,animation,animators 0.993
anim,animation,anime 0.998
anim,anime,animes 0.999
animatron,animatronic,animatronics 0.800
anko,anko,ankos 0.500
annihil,annihilate,annihilating 0.944
annihil,annihilating,annihilation 0.972
annon,annona,annone 0.667
annot,annotated,annotation 0.983
annount,announce,announced 0.999
annount,announce,announcement 0.997
annount,announce,announcements 0.994
annount,announce,announces 0.997
annount,announced,announcement 0.998
annount,announced,announcer 0.999
annount,announced,announces 0.999
annount,announcement,announcements 0.996
annount,announcer,announcers 0.990
annount,announcer,announcing 0.996
annount,announcers,announcing 0.994
annoy,annoyance,annoying 0.958
anonym,anonymity,anonymous 1.000
anonym,anonymity,anonymously 0.958
answ,answer,answered 0.997
answ,answer,answers 0.989
ant,anc,anti 1.000
ant,ancient,anti 1.000
ant,ancient,anting 1.000
ant,ancient,antique 1.000
ant,ancient,antiquity 1.000
ant,ant,anti 1.000
ant,ant,ants 0.996
ant,anteater,anteaters 0.989
ant,anti,anting 1.000
ant,antique,antiques 0.999
antagon,antagonist,antagonists 0.992
antelop,antelope,antelopes 0.909
anth,anther,anthers 0.933
anthem,anthem,anthemic 0.983
antholog,anthologies,anthology 0.996
antholog,anthologized,anthology 0.995
anthony,anthony,anthonys 0.988
anthropolog,anthropological,anthropologically 0.960
anthropolog,anthropological,anthropologist 0.983
anthropolog,anthropological,anthropology 0.992
anthropolog,anthropologically,anthropologist 0.978
anthropolog,anthropologically,anthropologists 0.975
anthropolog,anthropologically,anthropology 0.991
anthropolog,anthropologist,anthropologists 0.973
anthropolog,anthropologist,anthropology 0.993
anthropolog,anthropologists,anthropology 0.979
antibiot,antibiotic,antibiotics 0.875
antibody,antibodies,antibody 0.917
antiph,antiphates,antiphus 0.500
antipr,antiprism,antiprisms 0.667
antisemit,antisemitic,antisemitism 0.963
any,any,anya 0.999
anzack,anzack,anzacks 0.500
aok,aoki,aokis 0.900
ap,ap,appian 0.999
ap,api,apis 0.997
ap,apia,app 0.999
ap,app,apps 1.000
ap,appeal,appealed 0.999
ap,appeal,appealing 0.999
ap,appealed,appeals 0.998
apart,apartment,apartments 0.984
apc,apc,apcs 0.600
apn,apn,apns 0.833
app,apparent,apparently 0.998
appear,appear,appearance 0.996
appear,appear,appearances 0.998
appear,appear,appeared 0.993
appear,appear,appears 0.993
appear,appearance,appearances 0.993
appear,appearance,appeared 0.991
appear,appearance,appearing 0.999
appear,appearance,appears 0.994
appear,appearances,appeared 0.994
appear,appearances,appearing 0.999
appear,appearances,appears 0.998
appear,appeared,appearing 0.996
appear,appeared,appears 0.996
appear,appearing,appears 0.998
appl,apple,apples 0.991
appl,applicant,applicants 0.979
apply,appliance,appliances 0.990
apply,appliance,application 0.999
apply,appliance,applications 0.997
apply,appliance,applying 0.995
apply,application,applications 0.987
apply,application,applied 0.995
apply,application,apply 0.998
apply,application,applying 0.999
apply,applications,applied 0.998
apply,applications,apply 0.998
apply,applications,applying 0.999
apply,applied,apply 0.996
apply,applied,applying 0.997
apply,applies,apply 0.998
apply,apply,applying 0.996
appoint,appoint,appointees 0.990
appoint,appoint,appointment 0.998
appoint,appoint,appointments 0.994
appoint,appointed,appointing 0.997
appoint,appointed,appointment 0.995
appoint,appointed,appointments 0.999
appoint,appointee,appointees 0.959
appr,apprentice,apprentices 0.992
appr,apprenticed,apprenticeship 0.985
apprecy,appreciate,appreciation 0.996
apprehend,apprehend,apprehended 0.952
approach,approach,approached 0.999
approach,approach,approaches 0.993
approach,approach,approaching 0.998
appropry,appropriate,appropriately 0.999
appropry,appropriates,appropriation 0.964
approv,approval,approvals 0.996
approv,approval,approve 0.997
approv,approval,approved 0.989
approv,approval,approves 0.996
approv,approve,approved 0.996
approv,approver,approves 0.979
approxim,approximate,approximately 0.999
approxim,approximate,approximation 0.993
approxim,approximate,approximations 0.993
approxim,approximated,approximation 0.979
approxim,approximates,approximation 0.979
april,april,aprils 1.000
apt,apt,apta 0.964
aqu,aquatic,aqueous 0.996
aqu,aquifer,aquifers 0.963
aquam,aquaman,aquamans 0.750
aquar,aquaria,aquarium 0.938
aquar,aquaria,aquariums 0.929
aquar,aquarium,aquariums 0.923
aqueduc,aqueduct,aqueducts 0.909
ar,ar,are 1.000
ar,ar,arth 0.999
ar,arable,are 1.000
ar,arar,are 1.000
ar,are,arent 1.000
ar,are,aria 1.000
ar,are,arial 1.000
ar,are,arise 1.000
ar,are,arisen 1.000
ar,are,arises 1.000
ar,are,arising 1.000
ar,are,arousal 1.000
ar,are,arouse 1.000
ar,are,aroused 1.000
ar,are,arran 1.000
ar,are,arrival 1.000
ar,are,arrivals 1.000
ar,are,arrive 1.000
ar,are,arrived 1.000
ar,are,arrives 1.000
ar,are,arriving 1.000
ar,are,ars 1.000
ar,arent,arrive 1.000
ar,arent,arrived 1.000
ar,aria,arr 0.999
ar,arise,arisen 0.999
ar,arising,arrive 1.000
ar,arize,arrats 0.991
ar,arrival,arrived 1.000
ar,arrival,arrives 1.000
ar,arrive,arrived 1.000
ar,arrive,arrives 0.999
ar,arrive,arriving 1.000
ar,arrived,arrives 1.000
ar,arrived,arriving 0.999
arab,arab,arabia 0.988
arab,arab,arabian 0.997
arab,arab,arabic 0.991
arab,arab,arabist 0.998
arab,arab,arabs 0.997
arab,arabia,arabian 0.998
arab,arabia,arabic 0.999
arab,arabia,arabs 0.998
arab,arabian,arabic 0.998
arain,arain,arains 0.500
arak,araki,arakis 0.875
arama,aramaeans,aramaic 0.917
arason,arason,arasonar 0.500
arbit,arbiter,arbitrary 0.992
arbit,arbiter,arbitrive 0.967
arbitron,arbitron,arbitrons 0.600
arboret,arboreta,arboretum 0.786
arc,arc,arcenant 0.997
arc,arc,arcs 0.998
arcad,arcade,arcades 0.993
