a,a,aed 0.008
abl,able,abled 0.667
abl,able,ables 0.668
abl,abled,ables 0.667
ablut,ablution,ablutions 0.000
abnorm,abnormal,abnormalities 0.667
abnorm,abnormal,abnormality 0.667
abnorm,abnormal,abnormally 0.667
abnorm,abnormalities,abnormality 0.667
abnorm,abnormalities,abnormally 0.667
abnorm,abnormality,abnormally 0.667
abolish,abolish,abolished 0.667
abolish,abolish,abolishes 0.667
abolish,abolish,abolishing 0.667
abolish,abolished,abolishes 0.667
abolish,abolished,abolishing 0.667
abolish,abolishes,abolishing 0.667
abolitionist,abolitionist,abolitionists 0.000
abomin,abominable,abomination 0.500
abomin,abominable,abominations 0.500
abomin,abomination,abominations 0.600
aborigin,aboriginal,aborigines 0.091
abort,abort,aborted 0.750
abort,abort,abortion 0.767
abort,abort,abortions 0.750
abort,abort,abortive 0.750
abort,aborted,abortion 0.750
abort,aborted,abortions 0.750
abort,aborted,abortive 0.750
abort,abortion,abortions 0.750
abort,abortion,abortive 0.750
abort,abortions,abortive 0.750
abound,abound,abounded 0.500
abound,abound,abounds 0.500
abound,abounded,abounds 0.500
abr,abres,abrs 0.000
abraham,abraham,abrahamic 0.500
abraham,abraham,abrahams 0.514
abraham,abrahamic,abrahams 0.500
abrahamsen,abrahamsen,abrahamsens 0.333
abram,abram,abrams 0.000
abramov,abramov,abramovic 0.000
abras,abrasive,abrasiveness 0.000
abridg,abridged,abridgement 0.778
abridg,abridged,abridges 0.786
abridg,abridged,abridging 0.750
abridg,abridged,abridgment 0.750
abridg,abridgement,abridges 0.812
abridg,abridgement,abridging 0.812
abridg,abridgement,abridgment 0.812
abridg,abridges,abridging 0.750
abridg,abridges,abridgment 0.750
abridg,abridging,abridgment 0.875
abrog,abrogated,abrogation 0.250
abscond,absconded,absconding 0.000
absenc,absence,absences 0.000
absent,absent,absented 0.036
absente,absentee,absenteeism 0.000
absolut,absolut,absolute 0.857
absolut,absolut,absolutely 0.857
absolut,absolut,absoluter 0.857
absolut,absolut,absolutes 0.857
absolut,absolut,absolution 0.857
absolut,absolut,absolutism 0.857
absolut,absolut,absolutive 0.857
absolut,absolute,absolutely 0.863
absolut,absolute,absoluter 0.859
absolut,absolute,absolutes 0.859
absolut,absolute,absolution 0.859
absolut,absolute,absolutism 0.857
absolut,absolute,absolutive 0.857
absolut,absolutely,absoluter 0.857
absolut,absolutely,absolutes 0.857
absolut,absolutely,absolution 0.865
absolut,absolutely,absolutism 0.857
absolut,absolutely,absolutive 0.857
absolut,absoluter,absolutes 0.857
absolut,absoluter,absolution 0.857
absolut,absoluter,absolutism 0.857
absolut,absoluter,absolutive 0.857
absolut,absolutes,absolution 0.857
absolut,absolutes,absolutism 0.857
absolut,absolutes,absolutive 0.857
absolut,absolution,absolutism 0.857
absolut,absolution,absolutive 0.857
absolut,absolutism,absolutive 0.857
absolv,absolve,absolved 0.200
absorb,absorb,absorbable 0.875
absorb,absorb,absorbance 0.875
absorb,absorb,absorbed 0.875
absorb,absorb,absorbency 0.875
absorb,absorb,absorbent 0.875
absorb,absorb,absorber 0.875
absorb,absorb,absorbing 0.875
absorb,absorb,absorbs 0.875
absorb,absorbable,absorbance 0.875
absorb,absorbable,absorbed 0.875
absorb,absorbable,absorbency 0.875
absorb,absorbable,absorbent 0.875
absorb,absorbable,absorber 0.875
absorb,absorbable,absorbing 0.875
absorb,absorbable,absorbs 0.875
absorb,absorbance,absorbed 0.875
absorb,absorbance,absorbency 0.875
absorb,absorbance,absorbent 0.875
absorb,absorbance,absorber 0.875
absorb,absorbance,absorbing 0.875
absorb,absorbance,absorbs 0.875
absorb,absorbed,absorbency 0.875
absorb,absorbed,absorbent 0.875
absorb,absorbed,absorber 0.875
absorb,absorbed,absorbing 0.882
absorb,absorbed,absorbs 0.879
absorb,absorbency,absorbent 0.875
absorb,absorbency,absorber 0.875
absorb,absorbency,absorbing 0.875
absorb,absorbency,absorbs 0.875
absorb,absorbent,absorber 0.875
absorb,absorbent,absorbing 0.875
absorb,absorbent,absorbs 0.875
absorb,absorber,absorbing 0.875
absorb,absorber,absorbs 0.875
absorb,absorbing,absorbs 0.883
abstent,abstention,abstentions 0.000
abstract,abstract,abstracted 0.750
abstract,abstract,abstraction 0.770
abstract,abstract,abstractions 0.756
abstract,abstract,abstracts 0.750
abstract,abstracted,abstraction 0.750
abstract,abstracted,abstractions 0.750
abstract,abstracted,abstracts 0.750
abstract,abstraction,abstractions 0.778
abstract,abstraction,abstracts 0.750
abstract,abstractions,abstracts 0.750
abstrus,abstruse,abstrusely 0.000
absurd,absurd,absurdity 0.100
abt,abt,abts 0.200
abugida,abugida,abugidas 0.500
abund,abundance,abundant 0.042
abus,abuse,abused 0.808
abus,abuse,abusers 0.804
abus,abuse,abuses 0.804
abus,abuse,abusing 0.800
abus,abuse,abusive 0.804
abus,abused,abusers 0.800
abus,abused,abuses 0.800
abus,abused,abusing 0.800
abus,abused,abusive 0.800
abus,abusers,abuses 0.800
abus,abusers,abusing 0.800
abus,abusers,abusive 0.800
abus,abuses,abusing 0.800
abus,abuses,abusive 0.800
abus,abusing,abusive 0.800
abut,abuts,abutting 0.333
abysm,abysm,abysmal 0.000
abyss,abyss,abyssal 0.000
abyssinian,abyssinian,abyssinians 0.000
ac,ac,acs 0.000
academ,academe,academic 0.800
academ,academe,academical 0.800
academ,academe,academically 0.800
academ,academe,academicals 0.800
academ,academe,academics 0.800
academ,academic,academical 0.800
academ,academic,academically 0.801
academ,academic,academicals 0.800
academ,academic,academics 0.818
academ,academical,academically 0.800
academ,academical,academicals 0.800
academ,academical,academics 0.800
academ,academically,academicals 0.800
academ,academically,academics 0.804
academ,academicals,academics 0.800
academi,academies,academy 0.513
academi,academies,academys 0.500
academi,academy,academys 0.507
academician,academician,academicians 0.250
acc,acc,acce 0.500
acc,acc,acces 0.500
acc,acce,acces 0.500
acceler,accelerate,accelerated 0.857
acceler,accelerate,accelerates 0.871
acceler,accelerate,accelerating 0.857
acceler,accelerate,acceleration 0.874
acceler,accelerate,accelerations 0.889
acceler,accelerate,accelerator 0.857
acceler,accelerate,accelerators 0.857
acceler,accelerated,accelerates 0.857
acceler,accelerated,accelerating 0.857
acceler,accelerated,acceleration 0.865
acceler,accelerated,accelerations 0.857
acceler,accelerated,accelerator 0.868
acceler,accelerated,accelerators 0.868
acceler,accelerates,accelerating 0.857
acceler,accelerates,acceleration 0.867
acceler,accelerates,accelerations 0.898
acceler,accelerates,accelerator 0.857
acceler,accelerates,accelerators 0.857
acceler,accelerating,acceleration 0.867
acceler,accelerating,accelerations 0.857
acceler,accelerating,accelerator 0.875
acceler,accelerating,accelerators 0.875
acceler,acceleration,accelerations 0.878
acceler,acceleration,accelerator 0.857
acceler,acceleration,accelerators 0.857
acceler,accelerations,accelerator 0.857
acceler,accelerations,accelerators 0.857
acceler,accelerator,accelerators 0.886
accent,accent,accented 0.525
accent,accent,accents 0.500
accent,accented,accents 0.500
accentu,accentuate,accentuated 0.500
accentu,accentuate,accentuation 0.500
accentu,accentuated,accentuation 0.500
accept,accept,acceptable 0.809
accept,accept,acceptance 0.810
accept,accept,accepted 0.817
accept,accept,accepting 0.807
accept,accept,accepts 0.805
accept,acceptable,acceptance 0.807
accept,acceptable,accepted 0.806
accept,acceptable,accepting 0.800
accept,acceptable,accepts 0.806
accept,acceptance,accepted 0.815
accept,acceptance,accepting 0.804
accept,acceptance,accepts 0.805
accept,accepted,accepting 0.802
accept,accepted,accepts 0.803
accept,accepting,accepts 0.800
access,access,accessed 0.883
access,access,accesses 0.875
access,access,accessibility 0.880
access,access,accessible 0.884
access,access,accessing 0.878
access,access,accession 0.876
access,access,accessioned 0.875
access,access,accessions 0.875
access,accessed,accesses 0.875
access,accessed,accessibility 0.876
access,accessed,accessible 0.881
access,accessed,accessing 0.876
access,accessed,accession 0.876
access,accessed,accessioned 0.875
access,accessed,accessions 0.875
access,accesses,accessibility 0.875
access,accesses,accessible 0.875
access,accesses,accessing 0.875
access,accesses,accession 0.875
access,accesses,accessioned 0.875
access,accesses,accessions 0.875
access,accessibility,accessible 0.879
access,accessibility,accessing 0.875
access,accessibility,accession 0.875
access,accessibility,accessioned 0.875
access,accessibility,accessions 0.875
access,accessible,accessing 0.877
access,accessible,accession 0.875
access,accessible,accessioned 0.875
access,accessible,accessions 0.875
access,accessing,accession 0.879
access,accessing,accessioned 0.875
access,accessing,accessions 0.875
access,accession,accessioned 0.875
access,accession,accessions 0.875
access,accessioned,accessions 0.875
accessori,accessories,accessory 0.000
accid,accident,accidents 0.051
accident,accidental,accidentally 0.031
acclaim,acclaim,acclaimed 0.058
acclam,acclamation,acclamations 0.333
accommod,accommodate,accommodated 0.809
accommod,accommodate,accommodates 0.805
accommod,accommodate,accommodating 0.804
accommod,accommodate,accommodation 0.813
accommod,accommodate,accommodations 0.800
accommod,accommodated,accommodates 0.800
accommod,accommodated,accommodating 0.820
accommod,accommodated,accommodation 0.809
accommod,accommodated,accommodations 0.800
accommod,accommodates,accommodating 0.800
accommod,accommodates,accommodation 0.810
accommod,accommodates,accommodations 0.800
accommod,accommodating,accommodation 0.807
accommod,accommodating,accommodations 0.800
accommod,accommodation,accommodations 0.800
accompani,accompanied,accompanies 0.800
accompani,accompanied,accompaniment 0.805
accompani,accompanied,accompaniments 0.800
accompani,accompanied,accompany 0.809
accompani,accompanied,accompanying 0.802
accompani,accompanies,accompaniment 0.800
accompani,accompanies,accompaniments 0.800
accompani,accompanies,accompany 0.800
accompani,accompanies,accompanying 0.800
accompani,accompaniment,accompaniments 0.817
accompani,accompaniment,accompany 0.808
accompani,accompaniment,accompanying 0.812
accompani,accompaniments,accompany 0.800
accompani,accompaniments,accompanying 0.800
accompani,accompany,accompanying 0.811
accomplic,accomplice,accomplices 0.000
accomplish,accomplish,accomplished 0.750
accomplish,accomplish,accomplishes 0.750
accomplish,accomplish,accomplishment 0.750
accomplish,accomplish,accomplishments 0.750
accomplish,accomplished,accomplishes 0.750
accomplish,accomplished,accomplishment 0.756
accomplish,accomplished,accomplishments 0.758
accomplish,accomplishes,accomplishment 0.750
accomplish,accomplishes,accomplishments 0.750
accomplish,accomplishment,accomplishments 0.757
accord,accord,accordance 0.800
accord,accord,accorded 0.800
accord,accord,accordence 0.800
accord,accord,according 0.803
accord,accord,accords 0.812
accord,accordance,accorded 0.800
accord,accordance,accordence 0.807
accord,accordance,according 0.802
accord,accordance,accords 0.800
accord,accorded,accordence 0.800
accord,accorded,according 0.800
accord,accorded,accords 0.800
accord,accordence,according 0.800
accord,accordence,accords 0.800
accord,according,accords 0.800
accordion,accordion,accordions 0.000
accost,accosted,accosting 0.000
account,account,accountability 0.875
account,account,accountable 0.875
account,account,accountancy 0.876
account,account,accountant 0.875
account,account,accountants 0.877
account,account,accounted 0.875
account,account,accounting 0.878
account,account,accounts 0.886
account,accountability,accountable 0.881
account,accountability,accountancy 0.875
account,accountability,accountant 0.875
account,accountability,accountants 0.875
account,accountability,accounted 0.875
account,accountability,accounting 0.875
account,accountability,accounts 0.875
account,accountable,accountancy 0.875
account,accountable,accountant 0.875
account,accountable,accountants 0.875
account,accountable,accounted 0.875
account,accountable,accounting 0.875
account,accountable,accounts 0.877
account,accountancy,accountant 0.884
account,accountancy,accountants 0.900
account,accountancy,accounted 0.875
account,accountancy,accounting 0.883
account,accountancy,accounts 0.875
account,accountant,accountants 0.898
account,accountant,accounted 0.875
account,accountant,accounting 0.882
account,accountant,accounts 0.875
account,accountants,accounted 0.875
account,accountants,accounting 0.883
account,accountants,accounts 0.875
account,accounted,accounting 0.879
account,accounted,accounts 0.878
account,accounting,accounts 0.880
accredit,accreditation,accreditations 0.667
accredit,accreditation,accredited 0.720
accredit,accreditation,accrediting 0.692
accredit,accreditations,accredited 0.667
accredit,accreditations,accrediting 0.667
accredit,accredited,accrediting 0.697
accret,accrete,accreted 0.875
accret,accrete,accretes 0.750
accret,accrete,accreting 0.875
accret,accrete,accretion 0.833
accret,accreted,accretes 0.750
accret,accreted,accreting 0.875
accret,accreted,accretion 0.833
accret,accretes,accreting 0.750
accret,accretes,accretion 0.750
accret,accreting,accretion 0.833
accru,accrued,accruing 0.000
accueil,accueil,accueille 0.500
accumul,accumulate,accumulated 0.870
accumul,accumulate,accumulates 0.857
accumul,accumulate,accumulating 0.857
accumul,accumulate,accumulation 0.857
accumul,accumulate,accumulations 0.857
accumul,accumulate,accumulator 0.857
accumul,accumulate,accumulators 0.857
accumul,accumulated,accumulates 0.857
accumul,accumulated,accumulating 0.857
accumul,accumulated,accumulation 0.857
accumul,accumulated,accumulations 0.857
accumul,accumulated,accumulator 0.857
accumul,accumulated,accumulators 0.857
accumul,accumulates,accumulating 0.857
accumul,accumulates,accumulation 0.857
accumul,accumulates,accumulations 0.857
accumul,accumulates,accumulator 0.857
accumul,accumulates,accumulators 0.857
accumul,accumulating,accumulation 0.857
accumul,accumulating,accumulations 0.857
accumul,accumulating,accumulator 0.857
accumul,accumulating,accumulators 0.857
accumul,accumulation,accumulations 0.857
accumul,accumulation,accumulator 0.857
accumul,accumulation,accumulators 0.857
accumul,accumulations,accumulator 0.857
accumul,accumulations,accumulators 0.857
accumul,accumulator,accumulators 0.857
accur,accurate,accurately 0.536
accur,accurate,accurizer 0.500
accur,accurately,accurizer 0.500
accus,accusation,accusations 0.862
accus,accusation,accusative 0.857
accus,accusation,accuse 0.867
accus,accusation,accused 0.865
accus,accusation,accuser 0.857
accus,accusation,accuses 0.857
accus,accusation,accusing 0.865
accus,accusations,accusative 0.857
accus,accusations,accuse 0.862
accus,accusations,accused 0.876
accus,accusations,accuser 0.857
accus,accusations,accuses 0.867
accus,accusations,accusing 0.861
accus,accusative,accuse 0.857
accus,accusative,accused 0.857
accus,accusative,accuser 0.857
accus,accusative,accuses 0.857
accus,accusative,accusing 0.857
accus,accuse,accused 0.859
accus,accuse,accuser 0.857
accus,accuse,accuses 0.868
accus,accuse,accusing 0.857
accus,accused,accuser 0.857
accus,accused,accuses 0.863
accus,accused,accusing 0.869
accus,accuser,accuses 0.857
accus,accuser,accusing 0.857
accus,accuses,accusing 0.866
ace,ace,aces 0.017
acet,acetal,acetals 0.833
acet,acetal,acetate 0.667
acet,acetal,acetic 0.667
acet,acetals,acetate 0.667
acet,acetals,acetic 0.667
acet,acetate,acetic 0.667
acetyl,acetyl,acetylation 0.000
acetyltransferas,acetyltransferase,acetyltransferases 0.500
ach,ach,ache 0.667
ach,ach,aching 0.667
ach,ach,achs 0.667
ach,ache,aching 0.667
ach,ache,achs 0.667
ach,aching,achs 0.667
achiev,achievable,achieve 0.857
achiev,achievable,achieved 0.859
achiev,achievable,achievement 0.857
achiev,achievable,achievements 0.857
achiev,achievable,achievers 0.857
achiev,achievable,achieves 0.857
achiev,achievable,achieving 0.857
achiev,achieve,achieved 0.865
achiev,achieve,achievement 0.865
achiev,achieve,achievements 0.861
achiev,achieve,achievers 0.857
achiev,achieve,achieves 0.860
achiev,achieve,achieving 0.869
achiev,achieved,achievement 0.859
achiev,achieved,achievements 0.863
achiev,achieved,achievers 0.857
achiev,achieved,achieves 0.857
achiev,achieved,achieving 0.862
achiev,achievement,achievements 0.863
achiev,achievement,achievers 0.857
achiev,achievement,achieves 0.857
achiev,achievement,achieving 0.859
achiev,achievements,achievers 0.857
achiev,achievements,achieves 0.857
achiev,achievements,achieving 0.860
achiev,achievers,achieves 0.857
achiev,achievers,achieving 0.857
achiev,achieves,achieving 0.861
achil,achille,achilles 0.059
acid,acid,acidic 0.681
acid,acid,acidity 0.672
acid,acid,acids 0.711
acid,acidic,acidity 0.708
acid,acidic,acids 0.679
acid,acidity,acids 0.682
ack,ack,acking 0.000
acknowledg,acknowledge,acknowledged 0.837
acknowledg,acknowledge,acknowledgement 0.841
acknowledg,acknowledge,acknowledges 0.841
acknowledg,acknowledge,acknowledging 0.833
acknowledg,acknowledge,acknowledgment 0.833
acknowledg,acknowledge,acknowledgments 0.833
acknowledg,acknowledged,acknowledgement 0.833
acknowledg,acknowledged,acknowledges 0.838
acknowledg,acknowledged,acknowledging 0.838
acknowledg,acknowledged,acknowledgment 0.833
acknowledg,acknowledged,acknowledgments 0.839
acknowledg,acknowledgement,acknowledges 0.833
acknowledg,acknowledgement,acknowledging 0.833
acknowledg,acknowledgement,acknowledgment 0.833
acknowledg,acknowledgement,acknowledgments 0.833
acknowledg,acknowledges,acknowledging 0.833
acknowledg,acknowledges,acknowledgment 0.833
acknowledg,acknowledges,acknowledgments 0.833
acknowledg,acknowledging,acknowledgment 0.833
acknowledg,acknowledging,acknowledgments 0.833
acknowledg,acknowledgment,acknowledgments 0.833
acl,acl,acle 0.000
acm,acm,acme 0.000
acolyt,acolyte,acolytes 0.000
acon,acon,acons 0.000
acorn,acorn,acorns 0.000
acorna,acorna,acornas 0.500
acoust,acoust,acoustic 0.750
acoust,acoust,acoustical 0.750
acoust,acoust,acoustically 0.750
acoust,acoust,acoustics 0.750
acoust,acoustic,acoustical 0.760
acoust,acoustic,acoustically 0.759
acoust,acoustic,acoustics 0.755
acoust,acoustical,acoustically 0.792
acoust,acoustical,acoustics 0.750
acoust,acoustically,acoustics 0.750
acquaint,acquaintance,acquaintances 0.667
acquaint,acquaintance,acquainted 0.686
acquaint,acquaintance,acquainting 0.667
acquaint,acquaintances,acquainted 0.667
acquaint,acquaintances,acquainting 0.667
acquaint,acquainted,acquainting 0.667
acquiesc,acquiesce,acquiescence 0.000
acquir,acquire,acquired 0.755
acquir,acquire,acquirer 0.750
acquir,acquire,acquires 0.759
acquir,acquire,acquiring 0.766
acquir,acquired,acquirer 0.750
acquir,acquired,acquires 0.756
acquir,acquired,acquiring 0.756
acquir,acquirer,acquires 0.750
acquir,acquirer,acquiring 0.771
acquir,acquires,acquiring 0.750
acquisit,acquisition,acquisitions 0.093
acr,acr,acre 0.500
acr,acr,acres 0.500
acr,acre,acres 0.549
acrobat,acrobat,acrobatic 0.500
acrobat,acrobat,acrobatics 0.500
acrobat,acrobatic,acrobatics 0.500
acronym,acronym,acronyms 0.048
acryl,acrylate,acrylic 0.625
acryl,acrylate,acrylics 0.667
acryl,acrylic,acrylics 0.667
act,act,acte 0.750
act,act,acted 0.758
act,act,acting 0.763
act,act,acts 0.782
act,acte,acted 0.750
act,acte,acting 0.750
act,acte,acts 0.750
act,acted,acting 0.759
act,acted,acts 0.753
act,acting,acts 0.761
action,action,actiones 0.500
action,action,actions 0.546
action,actiones,actions 0.500
activ,activ,activable 0.923
activ,activ,activate 0.923
activ,activ,activated 0.923
activ,activ,activates 0.923
activ,activ,activating 0.923
activ,activ,activation 0.923
activ,activ,activator 0.923
activ,activ,activators 0.923
activ,activ,active 0.923
activ,activ,actively 0.923
activ,activ,activism 0.923
activ,activ,activities 0.923
activ,activ,activity 0.923
activ,activable,activate 0.923
activ,activable,activated 0.923
activ,activable,activates 0.923
activ,activable,activating 0.923
activ,activable,activation 0.923
activ,activable,activator 0.923
activ,activable,activators 0.923
activ,activable,active 0.923
activ,activable,actively 0.923
activ,activable,activism 0.923
activ,activable,activities 0.923
activ,activable,activity 0.923
activ,activate,activated 0.928
activ,activate,activates 0.923
activ,activate,activating 0.928
activ,activate,activation 0.929
activ,activate,activator 0.923
activ,activate,activators 0.923
activ,activate,active 0.924
activ,activate,actively 0.923
activ,activate,activism 0.923
activ,activate,activities 0.924
activ,activate,activity 0.925
activ,activated,activates 0.923
activ,activated,activating 0.925
activ,activated,activation 0.935
activ,activated,activator 0.923
activ,activated,activators 0.923
activ,activated,active 0.924
activ,activated,actively 0.923
activ,activated,activism 0.923
activ,activated,activities 0.923
activ,activated,activity 0.927
activ,activates,activating 0.929
activ,activates,activation 0.926
activ,activates,activator 0.934
activ,activates,activators 0.923
activ,activates,active 0.923
activ,activates,actively 0.923
activ,activates,activism 0.923
activ,activates,activities 0.923
activ,activates,activity 0.924
activ,activating,activation 0.928
activ,activating,activator 0.935
activ,activating,activators 0.930
activ,activating,active 0.923
activ,activating,actively 0.923
activ,activating,activism 0.923
activ,activating,activities 0.924
activ,activating,activity 0.925
activ,activation,activator 0.930
activ,activation,activators 0.923
activ,activation,active 0.924
activ,activation,actively 0.923
activ,activation,activism 0.923
activ,activation,activities 0.923
activ,activation,activity 0.928
activ,activator,activators 0.942
activ,activator,active 0.923
activ,activator,actively 0.923
activ,activator,activism 0.923
activ,activator,activities 0.924
activ,activator,activity 0.925
activ,activators,active 0.923
activ,activators,actively 0.923
activ,activators,activism 0.923
activ,activators,activities 0.924
activ,activators,activity 0.924
activ,active,actively 0.925
activ,active,activism 0.924
activ,active,activities 0.929
activ,active,activity 0.926
activ,actively,activism 0.928
activ,actively,activities 0.926
activ,actively,activity 0.925
activ,activism,activities 0.925
activ,activism,activity 0.925
activ,activities,activity 0.930
activist,activist,activists 0.091
actor,actor,actors 0.260
actress,actress,actresses 0.053
actual,actual,actuality 0.750
actual,actual,actualized 0.752
actual,actual,actualizing 0.750
actual,actual,actually 0.770
actual,actuality,actualized 0.750
actual,actuality,actualizing 0.750
actual,actuality,actually 0.751
actual,actualized,actualizing 0.750
actual,actualized,actually 0.750
actual,actualizing,actually 0.750
actuari,actuarial,actuaries 0.000
actuat,actuated,actuators 0.000
acut,acute,acutely 0.030
acyltransferas,acyltransferase,acyltransferases 0.333
ad,ad,added 0.683
ad,ad,adding 0.674
ad,ad,ads 0.678
ad,added,adding 0.685
ad,added,ads 0.671
ad,adding,ads 0.667
adac,adac,adacent 0.000
adam,adam,adamant 0.500
adam,adam,adams 0.516
adam,adamant,adams 0.500
adamov,adamov,adamovic 0.000
adamski,adamski,adamsky 0.000
adapt,adapt,adaptability 0.889
adapt,adapt,adaptation 0.891
adapt,adapt,adaptations 0.894
adapt,adapt,adapted 0.894
adapt,adapt,adapter 0.889
adapt,adapt,adapters 0.889
adapt,adapt,adapting 0.900
adapt,adapt,adaption 0.897
adapt,adapt,adaptive 0.889
adapt,adaptability,adaptation 0.889
adapt,adaptability,adaptations 0.889
adapt,adaptability,adapted 0.889
adapt,adaptability,adapter 0.889
adapt,adaptability,adapters 0.889
adapt,adaptability,adapting 0.889
adapt,adaptability,adaption 0.889
adapt,adaptability,adaptive 0.889
adapt,adaptation,adaptations 0.899
adapt,adaptation,adapted 0.904
adapt,adaptation,adapter 0.889
adapt,adaptation,adapters 0.891
adapt,adaptation,adapting 0.893
adapt,adaptation,adaption 0.889
adapt,adaptation,adaptive 0.891
adapt,adaptations,adapted 0.899
adapt,adaptations,adapter 0.889
adapt,adaptations,adapters 0.889
adapt,adaptations,adapting 0.889
adapt,adaptations,adaption 0.889
adapt,adaptations,adaptive 0.892
adapt,adapted,adapter 0.889
adapt,adapted,adapters 0.890
adapt,adapted,adapting 0.891
adapt,adapted,adaption 0.890
adapt,adapted,adaptive 0.890
adapt,adapter,adapters 0.911
adapt,adapter,adapting 0.889
adapt,adapter,adaption 0.889
adapt,adapter,adaptive 0.889
adapt,adapters,adapting 0.889
adapt,adapters,adaption 0.889
adapt,adapters,adaptive 0.889
adapt,adapting,adaption 0.889
adapt,adapting,adaptive 0.895
adapt,adaption,adaptive 0.889
adc,adc,adcs 0.000
add,add,adds 0.040
addam,addam,addams 0.000
adder,adder,addere 0.500
adder,adder,adders 0.500
adder,addere,adders 0.500
addi,addie,addis 0.500
addi,addie,addy 0.500
addi,addis,addy 0.500
addict,addict,addicted 0.800
addict,addict,addiction 0.807
addict,addict,addictions 0.817
addict,addict,addictive 0.800
addict,addict,addicts 0.800
addict,addicted,addiction 0.818
addict,addicted,addictions 0.800
addict,addicted,addictive 0.800
addict,addicted,addicts 0.800
addict,addiction,addictions 0.800
addict,addiction,addictive 0.800
addict,addiction,addicts 0.800
addict,addictions,addictive 0.800
addict,addictions,addicts 0.800
addict,addictive,addicts 0.800
addison,addison,addisons 0.000
addit,addition,additional 0.848
addit,addition,additionally 0.842
addit,addition,additions 0.836
addit,addition,additive 0.834
addit,addition,additives 0.834
addit,addition,additivity 0.834
addit,additional,additionally 0.840
addit,additional,additions 0.834
addit,additional,additive 0.833
addit,additional,additives 0.834
addit,additional,additivity 0.833
addit,additionally,additions 0.838
addit,additionally,additive 0.836
addit,additionally,additives 0.836
addit,additionally,additivity 0.833
addit,additions,additive 0.833
addit,additions,additives 0.833
addit,additions,additivity 0.833
addit,additive,additives 0.833
addit,additive,additivity 0.833
addit,additives,additivity 0.833
address,address,addressed 0.679
address,address,addresses 0.683
address,address,addressing 0.681
address,addressed,addresses 0.672
address,addressed,addressing 0.667
address,addresses,addressing 0.702
adductor,adductor,adductors 0.000
adebisi,adebisi,adebisis 0.500
adel,adel,adele 0.000
adelaid,adelaide,adelaides 0.027
adept,adept,adeption 0.500
adept,adept,adepts 0.500
adept,adeption,adepts 0.500
adequ,adequate,adequately 0.000
adf,adf,adfe 0.500
adf,adf,adfs 0.600
adf,adfe,adfs 0.500
adher,adhere,adhered 0.833
adher,adhere,adherence 0.833
adher,adhere,adherent 0.833
adher,adhere,adherents 0.833
adher,adhere,adheres 0.833
adher,adhere,adhering 0.833
adher,adhered,adherence 0.833
adher,adhered,adherent 0.833
adher,adhered,adherents 0.833
adher,adhered,adheres 0.833
adher,adhered,adhering 0.833
adher,adherence,adherent 0.833
adher,adherence,adherents 0.852
adher,adherence,adheres 0.833
adher,adherence,adhering 0.833
adher,adherent,adherents 0.833
adher,adherent,adheres 0.833
adher,adherent,adhering 0.833
adher,adherents,adheres 0.833
